Name,Total level rank,Total level,Total level xp,Attack rank,Attack level,Attack xp,Defence rank,Defence level,Defence xp,Strength rank,Strength level,Strength xp,Hitpoints rank,Hitpoints level,Hitpoints xp,Ranged rank,Ranged level,Ranged xp,Prayer rank,Prayer level,Prayer xp,Magic rank,Magic level,Magic xp,Cooking rank,Cooking level,Cooking xp,Woodcutting rank,Woodcutting level,Woodcutting xp,Fletching rank,Fletching level,Fletching xp,Fishing rank,Fishing level,Fishing xp,Firemaking rank,Firemaking level,Firemaking xp,Crafting rank,Crafting level,Crafting xp,Smithing rank,Smithing level,Smithing xp,Mining rank,Mining level,Mining xp,Herblore rank,Herblore level,Herblore xp,Agility rank,Agility level,Agility xp,Thieving rank,Thieving level,Thieving xp,Slayer rank,Slayer level,Slayer xp,Farming rank,Farming level,Farming xp,Runecraft rank,Runecraft level,Runecraft xp,Hunter rank,Hunter level,Hunter xp,Construction rank,Construction level,Construction xp,League points rank,League points,BH Hunter rank,BH Hunter points,BH Rogue rank,BH Rogue points,All clues rank,All clues KC,Beginner clues rank,Beginner clues KC,Easy clues rank,Easy clues KC,Medium clues rank,Medium clues KC,Hard clues rank,Hard clues KC,Elite clues rank,Elite clues KC,Master clues rank,Master clues KC,LMS rank,LMS points,SW Zeal rank,SW points,Abyssal Sire rank,Abyssal Sire KC,Alchemical Hydra rank,Alchemical Hydra KC,Barrows Chests rank,Barrows Chests KC,Bryophyta rank,Bryophyta KC,Callisto rank,Callisto KC,Cerberus rank,Cerberus KC,Chambers of Xeric rank,Chambers of Xeric KC,Chambers of Xeric: Challenge Mode rank,Chambers of Xeric: Challenge Mode KC,Chaos Elemental rank,Chaos Elemental KC,Chaos Fanatic rank,Chaos Fanatic KC,Commander Zilyana rank,Commander Zilyana KC,Corporeal Beast rank,Corporeal Beast KC,Crazy Archaelogist rank,Crazy Archaelogist KC,Dagannoth Prime rank,Dagannoth Prime KC,Dagannoth Rex rank,Dagannoth Rex KC,Dagannoth Supreme rank,Dagannoth Supreme KC,Deranged Archaelogist rank,Deranged Archaelogist KC,General Graardor rank,General Graardor KC,Giant Mole rank,Giant Mole KC,Grotesque Guardians rank,Grotesque Guardians KC,Hespori rank,Hespori KC,Kalphite Queen rank,Kalphite Queen KC,King Black Dragon rank,King Black Dragon KC,Kraken rank,Kraken KC,Kree'Arra rank,Kree'Arra KC,K'ril Tsutsaroth rank,K'ril Tsutsaroth KC,Mimic rank,Mimic KC,Nightmare rank,Nightmare KC,Obor rank,Obor KC,Sarachnis rank,Sarachnis KC,Scorpia rank,Scorpia KC,Skotizo rank,Skotizo KC,The Gauntlet rank,The Gauntlet KC,The Corrupted Gauntlet rank,The Corrupted Gauntlet KC,Theatre of Blood rank,Theatre of Blood KC,Thermonuclear Smoke Devil rank,Thermonuclear Smoke Devil KC,TzKal-Zuk rank,TzKal-Zuk KC,TzTok-Jad rank,TzTok-Jad KC,Venenatis rank,Venenatis KC,Vet'ion rank,Vet'ion KC,Vorkath rank,Vorkath KC,Wintertodt rank,Wintertodt KC,Zalcano rank,Zalcano KC,Zulrah rank,Zulrah KC
Gwindor,40,2277,1600008940,502,99,153288627,245,99,144561457,902,99,164009501,397,99,193616655,6712,99,53997084,402,99,25107727,1957,99,50781354,132,99,200000000,380,99,51694792,701,99,25566676,173,99,143967265,697,99,25347518,510,99,25158108,648,99,25044716,78,99,63591894,2062,99,14159128,235,99,42066767,89,99,34153381,1375,99,62041875,1894,99,26155717,170,99,25010886,2640,99,25658240,431,99,25029572,11,74260,-1,-1,-1,-1,13,1707,60,600,178,198,39,400,33,300,15,200,4,9,-1,-1,-1,-1,345,500,-1,-1,-1,-1,308,59,-1,-1,10869,229,-1,-1,-1,-1,-1,-1,-1,-1,8176,234,-1,-1,-1,-1,24,1000,22,1000,21,1000,-1,-1,3099,500,1040,750,-1,-1,-1,-1,-1,-1,-1,-1,1114,1401,7948,134,9429,197,-1,-1,-1,-1,2725,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,706,30,-1,-1,-1,-1,48,1300,-1,-1,-1,-1,-1,-1
Do mi ni que,220,2277,1200959176,20931,99,26747690,8587,99,35314850,8029,99,49991287,36,99,200000000,19,99,200000000,197,99,25900042,1909,99,51396886,5092,99,28575714,7140,99,25166230,319,99,26429741,2701,99,27526337,466,99,25898005,76,99,28513092,19,99,63206340,97,99,56339376,344,99,25164897,52,99,50864508,1501,99,25021068,256,99,96174225,298,99,33616885,88,99,25132181,47,99,46649472,27,99,27330350,12,74250,-1,-1,-1,-1,4,2433,10,635,27,482,3,467,1,627,4,215,9,7,-1,-1,-1,-1,172,500,-1,-1,-1,-1,7067,14,-1,-1,25405,106,-1,-1,-1,-1,-1,-1,-1,-1,16145,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35382,110,559,750,-1,-1,-1,-1,-1,-1,-1,-1,1958,1177,5005,200,1597,500,-1,-1,-1,-1,2169,13,-1,-1,-1,-1,-1,-1,-1,-1,148,250,-1,-1,-1,-1,50,20,353,30,-1,-1,-1,-1,-1,-1,-1,-1,2,1134,967,500
Knuupy,23,2277,1846618974,471,99,156644130,172,99,169273287,355,99,200000000,156,99,200000000,5044,99,69584234,482,99,25057324,950,99,74069759,90,99,200000000,59,99,135725140,162,99,27736928,526,99,67267048,26,99,152968478,195,99,25916229,420,99,25233216,418,99,33604970,338,99,25169143,179,99,43505416,1288,99,25056408,454,99,83610654,711,99,28675080,129,99,25040052,1590,99,27434382,360,99,25047096,13,74210,-1,-1,-1,-1,7,1827,18,604,127,227,4,452,7,337,6,202,14,5,-1,-1,-1,-1,268,500,-1,-1,-1,-1,51,106,-1,-1,6986,287,-1,-1,-1,-1,-1,-1,-1,-1,3434,363,-1,-1,-1,-1,25,1000,24,1000,24,1000,-1,-1,539,690,279,751,-1,-1,-1,-1,-1,-1,-1,-1,860,1500,4740,207,18730,104,-1,-1,-1,-1,94,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,337,928,-1,-1,744,30,-1,-1,-1,-1,82,966,-1,-1,-1,-1,-1,-1
Mazhar,48,2277,1562666316,103,99,200000000,52,99,200000000,231,99,200000000,97,99,200000000,4187,99,80453096,336,99,25178089,4185,99,34332834,7377,99,25999779,5489,99,26153293,238,99,26889842,494,99,69118649,1530,99,25051600,1009,99,25015843,354,99,25367739,1524,99,25918401,309,99,25190773,22,99,59968355,945,99,25253806,34,99,159366154,2096,99,25984450,359,99,25000010,1705,99,27206863,186,99,25216740,14,73870,-1,-1,-1,-1,72,1029,62,600,267,162,578,85,236,116,93,65,745,1,-1,-1,-1,-1,255,500,-1,-1,443,361,57,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8420,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2224,501,501,750,524,250,-1,-1,-1,-1,-1,-1,2996,990,1205,397,17052,116,-1,-1,432,306,9,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,401,-1,-1,67,20,248,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wix of Zeah,185,2277,1230461682,23851,99,25386335,16973,99,27010808,23643,99,25597272,217,99,200000000,193,99,200000000,222,99,25644251,1363,99,61001688,5284,99,28233003,3876,99,28503364,29,99,54269383,2036,99,30487089,990,99,25156381,11,99,52576750,37,99,41248463,2168,99,25134059,85,99,26546636,585,99,33966544,1457,99,25024967,54,99,143746036,90,99,51787554,60,99,25264147,42,99,48767584,241,99,25109368,15,73850,-1,-1,-1,-1,338,513,341,183,1421,83,731,75,329,104,95,65,57,3,-1,-1,-1,-1,287,500,-1,-1,-1,-1,11,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1000,26,1000,26,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3682,883,-1,-1,-1,-1,-1,-1,-1,-1,587,25,-1,-1,-1,-1,-1,-1,-1,-1,182,250,-1,-1,474,766,412,4,223,30,-1,-1,-1,-1,21,2087,-1,-1,59,500,1041,500
Kint,62,2277,1491970458,134,99,200000000,74,99,200000000,374,99,200000000,58,99,200000000,2712,99,109292542,85,99,29404650,4052,99,34910828,6272,99,26872849,7837,99,25051724,123,99,28873346,4891,99,25188784,1173,99,25105900,328,99,25407354,138,99,27234890,2733,99,25014005,58,99,28424142,10,99,75097387,799,99,25435428,680,99,74688216,652,99,28971833,93,99,25122373,2341,99,26021929,67,99,25852278,16,73720,-1,-1,-1,-1,19,1584,13,620,187,192,14,402,16,301,85,67,243,2,-1,-1,-1,-1,135,501,-1,-1,336,391,339,57,-1,-1,29903,77,-1,-1,-1,-1,-1,-1,-1,-1,23864,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8165,335,115,761,330,250,-1,-1,-1,-1,-1,-1,3468,911,2469,294,143,810,-1,-1,168,465,72,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,210,9170,147,157,10,721,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Squat Slav,627,2277,1019902867,24673,99,25181269,18747,99,26121268,20729,99,27384666,152,99,200000000,13,99,200000000,827,99,25000143,5200,99,30951982,12821,99,25027827,8500,99,25016292,613,99,25666968,1683,99,33482503,1841,99,25026257,151,99,26290270,201,99,26262216,1909,99,25283205,958,99,25002014,529,99,34603644,2201,99,25002146,655,99,75760534,229,99,36414860,477,99,14448310,161,99,36974813,826,99,25001680,17,73650,-1,-1,-1,-1,38,1351,54,600,409,135,341,110,21,300,9,201,20,5,-1,-1,-1,-1,102,503,-1,-1,-1,-1,2314,26,-1,-1,12315,208,-1,-1,-1,-1,-1,-1,-1,-1,12319,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,135,5329,402,982,750,-1,-1,-1,-1,-1,-1,-1,-1,2730,1027,338,535,2859,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,250,-1,-1,-1,-1,45,20,550,30,-1,-1,-1,-1,-1,-1,-1,-1,126,500,422,578
Armourer,636,2277,1017066571,26133,99,25018760,21527,99,25189912,13457,99,35977823,244,99,200000000,171,99,200000000,644,99,25015281,7428,99,26463827,10646,99,25122803,9876,99,25000555,2130,99,25031203,4789,99,25209534,3372,99,25001334,431,99,25248747,331,99,25433894,3507,99,25000446,568,99,25036197,178,99,43536871,2468,99,25001205,656,99,75712660,450,99,30672984,283,99,25002951,1783,99,27029876,41,99,26359708,18,73500,-1,-1,-1,-1,29,1475,50,600,1374,84,20,400,22,300,42,89,165,2,-1,-1,-1,-1,264,500,-1,-1,-1,-1,182,71,-1,-1,13445,193,-1,-1,-1,-1,-1,-1,-1,-1,3468,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28519,151,1164,750,-1,-1,-1,-1,-1,-1,-1,-1,6475,750,584,500,10169,185,-1,-1,-1,-1,28,93,-1,-1,-1,-1,-1,-1,-1,-1,38,315,-1,-1,-1,-1,63,20,485,30,-1,-1,-1,-1,-1,-1,-1,-1,85,500,1330,500
Thalarios,246,2277,1185906759,26977,99,25004253,20158,99,25567496,25297,99,25090983,96,99,200000000,42,99,200000000,516,99,25043144,2905,99,41107362,6263,99,26876574,9182,99,25004492,122,99,28927179,5075,99,25158786,1891,99,25023431,37,99,32932702,66,99,33396598,2901,99,25007468,518,99,25051603,172,99,43724287,2499,99,25001130,9,99,200000000,340,99,32334061,154,99,25018094,54,99,45634728,809,99,25002388,19,73400,-1,-1,-1,-1,195,643,791,120,366,142,3143,35,24,300,333,43,58,3,-1,-1,-1,-1,6,790,-1,-1,-1,-1,50,106,-1,-1,8277,264,-1,-1,-1,-1,-1,-1,-1,-1,1429,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17812,232,434,750,-1,-1,-1,-1,-1,-1,-1,-1,972,1454,5106,198,9052,202,-1,-1,-1,-1,118,56,-1,-1,-1,-1,-1,-1,-1,-1,82,260,-1,-1,-1,-1,49,20,391,30,-1,-1,-1,-1,-1,-1,-1,-1,48,500,394,589
Mina Heart,149,2277,1267670242,26315,99,25012976,6463,99,39617554,12288,99,38234064,89,99,200000000,75,99,200000000,27,99,40190820,803,99,80642438,9853,99,25228926,2139,99,33902822,882,99,25430384,1166,99,43035616,873,99,25211201,33,99,34164123,91,99,29919727,1059,99,27560203,380,99,25130925,454,99,35891478,997,99,25210624,7,99,200000000,285,99,33955326,27,99,26380311,1416,99,27901524,349,99,25049200,20,73400,-1,-1,-1,-1,60,1087,2444,55,1078,93,41,400,9,333,17,200,13,6,-1,-1,-1,-1,440,500,-1,-1,-1,-1,247,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,1004,29,1000,9,1005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,2581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,902,125,-1,-1,74,1976,-1,-1,806,30,-1,-1,-1,-1,20,2144,-1,-1,104,500,1301,500
AG up ur S,42,2277,1595927935,107,99,200000000,101,99,200000000,69,99,200000000,226,99,200000000,4827,99,72063748,262,99,25373893,2488,99,44385982,3806,99,31621501,5137,99,26532694,538,99,25767460,2070,99,30256438,1971,99,25019614,568,99,25122960,170,99,26671341,1837,99,25352618,92,99,26433590,21,99,60205012,195,99,28985881,42,99,150428769,17,99,91705053,168,99,25011714,1038,99,29026411,60,99,25963256,21,73220,-1,-1,-1,-1,247,582,315,190,342,148,1005,63,193,123,147,57,649,1,-1,-1,-1,-1,498,500,-1,-1,11423,111,1226,35,-1,-1,15533,166,-1,-1,-1,-1,-1,-1,-1,-1,15970,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2896,500,991,750,820,250,-1,-1,-1,-1,-1,-1,3582,898,903,450,18435,106,-1,-1,62,663,307,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,202,18796,81,58,20,805,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
